Date;Open;High;Low;Close;Adj Close;Volume
18/04/2016;2,55;2,58;2,45;2,48;2,48;1939100
19/04/2016;2,48;2,67;2,46;2,66;2,66;47600
20/04/2016;2,66;2,74;2,55;2,57;2,57;2210800
22/04/2016;2,54;2,62;2,49;2,53;2,53;1391500
25/04/2016;2,53;2,56;2,4;2,43;2,43;1640100
26/04/2016;2,42;2,51;2,35;2,5;2,5;1482100
27/04/2016;2,52;2,56;2,45;2,47;2,47;1485900
28/04/2016;2,46;2,5;2,42;2,45;2,45;989500
29/04/2016;2,47;2,49;2,35;2,44;2,44;1519400
02/05/2016;2,43;2,59;2,35;2,56;2,56;2591400
03/05/2016;2,53;2,58;2,46;2,53;2,53;1539700
04/05/2016;2,78;3,33;2,72;3,25;3,25;19469200
05/05/2016;3,13;3,13;2,67;2,7;2,7;10621400
06/05/2016;2,63;2,86;2,52;2,65;2,65;5500400
09/05/2016;2,7;2,72;2,57;2,63;2,63;3941600
10/05/2016;2,68;2,71;2,59;2,67;2,67;3045200
11/05/2016;2,75;2,9;2,7;2,8;2,8;4850900
12/05/2016;3,12;3,18;2,93;3,11;3,11;11407600
13/05/2016;3,12;3,15;2,9;2,97;2,97;3091400
16/05/2016;2,95;3,07;2,88;2,93;2,93;2076200
17/05/2016;2,97;2,97;2,72;2,74;2,74;2695500
18/05/2016;2,7;2,8;2,69;2,75;2,75;2932800
19/05/2016;2,72;2,74;2,61;2,66;2,66;1872900
20/05/2016;2,7;2,71;2,6;2,61;2,61;1607400
23/05/2016;2,59;2,76;2,53;2,66;2,66;2214800
24/05/2016;2,69;2,71;2,43;2,47;2,47;4159000
25/05/2016;2,51;2,58;2,47;2,5;2,5;3067400
27/05/2016;2,45;2,55;2,43;2,5;2,5;1305800
30/05/2016;2,5;2,52;2,36;2,4;2,4;4813300
31/05/2016;2,4;2,42;2,24;2,27;2,27;5423700
01/06/2016;2,26;2,35;2,26;2,3;2,3;1292100
02/06/2016;2,31;2,35;2,28;2,32;2,32;1367500
03/06/2016;2,38;2,46;2,31;2,32;2,32;2049700
06/06/2016;2,33;2,43;2,33;2,36;2,36;1597800
07/06/2016;2,38;2,43;2,34;2,39;2,39;1616600
08/06/2016;2,43;2,57;2,4;2,55;2,55;3000500
09/06/2016;2,66;2,86;2,62;2,76;2,76;10553200
10/06/2016;2,72;2,74;2,5;2,53;2,53;4201700
13/06/2016;2,47;2,53;2,41;2,47;2,47;1215900
14/06/2016;2,48;2,55;2,37;2,42;2,42;1768200
15/06/2016;2,44;2,53;2,41;2,51;2,51;2030800
16/06/2016;2,47;2,49;2,4;2,45;2,45;1481200
17/06/2016;2,46;2,62;2,45;2,6;2,6;3071300
20/06/2016;2,69;2,75;2,62;2,68;2,68;4610300
21/06/2016;2,77;2,88;2,52;2,8;2,8;13130800
22/06/2016;2,92;3,17;2,85;2,98;2,98;13227600
23/06/2016;3,1;3,6;3,03;3,6;3,6;15276700
24/06/2016;3,35;3,7;3,33;3,6;3,6;10596400
27/06/2016;3,59;3,64;3,13;3,25;3,25;6469800
28/06/2016;3,42;3,7;3,39;3,68;3,68;10969400
29/06/2016;3,81;3,87;3,11;3,41;3,41;21519800
30/06/2016;3,14;3,51;3,08;3,45;3,45;8952200
01/07/2016;3,44;3,53;3,22;3,4;3,4;5873000
04/07/2016;3,35;3,43;3,15;3,2;3,2;3304700
05/07/2016;3,23;3,35;3,13;3,19;3,19;6480100
06/07/2016;3,27;3,3;3,16;3,27;3,27;3572400
07/07/2016;3,32;3,37;3,21;3,25;3,25;4028500
08/07/2016;3,27;3,32;3,24;3,32;3,32;1733300
11/07/2016;3,35;3,56;3,32;3,47;3,47;4026300
12/07/2016;3,55;4,26;3,55;4,12;4,12;14749900
13/07/2016;4,12;4,57;3,97;4,29;4,29;9417100
14/07/2016;4,46;4,55;4,34;4,4;4,4;5512600
15/07/2016;4,47;5,04;4,43;4,91;4,91;6619600
18/07/2016;4,98;5,34;4,83;5,24;5,24;6967200
19/07/2016;5,14;5,25;5,04;5,19;5,19;4385400
20/07/2016;5,17;5,55;5,17;5,53;5,53;8632100
21/07/2016;5,66;6;5,5;5,7;5,7;7643800
22/07/2016;5,76;5,95;5,35;5,52;5,52;5366500
25/07/2016;5,52;5,66;5,26;5,37;5,37;5095100
26/07/2016;4,96;5,23;4,96;5,03;5,03;5182500
27/07/2016;5,1;5,24;4,93;5,04;5,04;3424300
28/07/2016;5,07;5,12;4,8;4,92;4,92;2282500
29/07/2016;5;5,13;4,93;5,13;5,13;2324400
01/08/2016;5,2;5,61;5,17;5,34;5,34;4097400
02/08/2016;5,4;5,55;4,91;5,2;5,2;5314800
03/08/2016;5,16;5,42;5;5,29;5,29;4081400
04/08/2016;5,4;5,79;5,3;5,64;5,64;4168900
05/08/2016;5,75;5,83;5,54;5,6;5,6;1892300
08/08/2016;5,69;5,69;5,36;5,4;5,4;1596800
09/08/2016;5,49;5,59;5,36;5,45;5,45;915500
10/08/2016;5,51;5,73;5,4;5,66;5,66;2424400
11/08/2016;5,71;5,84;5,65;5,78;5,78;1408200
12/08/2016;5,74;6,24;5,74;6,14;6,14;3146500
15/08/2016;6,27;6,5;6,16;6,26;6,26;3817100
16/08/2016;6,51;6,69;6,27;6,51;6,51;4082700
17/08/2016;6,45;6,54;6,17;6,4;6,4;4372500
18/08/2016;6,55;7,07;6,55;6,79;6,79;6516500
19/08/2016;6,79;6,91;6,45;6,47;6,47;3824300
22/08/2016;6,42;6,42;6,06;6,15;6,15;5906200
23/08/2016;6,2;6,57;6,2;6,52;6,52;2896500
24/08/2016;6,51;6,51;6,15;6,15;6,15;3142700
25/08/2016;6,3;6,37;6,12;6,23;6,23;1687000
26/08/2016;6,44;6,62;6,13;6,16;6,16;2989000
29/08/2016;6,23;6,38;6,15;6,27;6,27;1356800
30/08/2016;6,32;6,36;6,16;6,29;6,29;1220600
31/08/2016;6,35;6,41;6,17;6,33;6,33;2096000
01/09/2016;6,34;6,41;6,24;6,31;6,31;739500
02/09/2016;6,33;6,95;6,31;6,88;6,88;3618500
05/09/2016;6,89;7,38;6,76;7,15;7,15;2517000
06/09/2016;7,25;7,32;6,88;7,11;7,11;2220600
08/09/2016;7,23;7,74;7,17;7,68;7,68;2378700
09/09/2016;7,58;7,6;7,05;7,05;7,05;3971100
12/09/2016;7;7;6,65;6,86;6,86;3105100
13/09/2016;6,9;6,94;6,45;6,48;6,48;2827900
14/09/2016;6,55;6,67;6,35;6,39;6,39;2347400
15/09/2016;6,4;6,6;6,4;6,48;6,48;1659200
16/09/2016;6,4;6,4;5,95;6,03;6,03;5144500
19/09/2016;6,1;6,28;5,9;5,98;5,98;2673900
20/09/2016;5,98;6,1;5,83;5,86;5,86;2023700
21/09/2016;6,03;6,29;6;6,29;6,29;4657500
22/09/2016;6,6;6,97;6,58;6,82;6,82;4536100
23/09/2016;6,87;6,93;6,65;6,73;6,73;2481600
26/09/2016;6,6;6,82;6,38;6,42;6,42;2779000
27/09/2016;6,5;6,57;6,21;6,36;6,36;2665800
28/09/2016;6,37;6,59;6,37;6,5;6,5;2700000
29/09/2016;6,44;6,57;6,21;6,29;6,29;1807000
30/09/2016;6,3;6,37;6,13;6,24;6,24;1725600
03/10/2016;6,27;6,57;6,26;6,37;6,37;2642000
04/10/2016;6,54;6,65;6,38;6,6;6,6;3677500
05/10/2016;6,62;6,8;6,62;6,65;6,65;1737900
06/10/2016;6,7;6,75;6,52;6,72;6,72;1714800
07/10/2016;6,76;6,93;6,73;6,82;6,82;2290100
10/10/2016;6,88;6,99;6,84;6,93;6,93;1233500
11/10/2016;6,89;6,9;6,61;6,66;6,66;1601600
13/10/2016;6,6;6,83;6,41;6,75;6,75;3557100
14/10/2016;6,89;7,32;6,78;7,27;7,27;6577900
17/10/2016;7,28;7,38;7,07;7,23;7,23;2518900
18/10/2016;7,26;7,41;7,26;7,35;7,35;2130500
19/10/2016;7,38;8,09;7,21;7,55;7,55;11040100
20/10/2016;7,38;7,89;7,3;7,8;7,8;4095400
21/10/2016;7,89;8,27;7,89;8,06;8,06;5725400
24/10/2016;8,2;8,45;8,1;8,34;8,34;4376400
25/10/2016;8,36;8,44;7,71;8,09;8,09;4626700
26/10/2016;8,1;8,1;7,82;8,02;8,02;1749100
27/10/2016;8;8,15;7,9;7,91;7,91;2080000
28/10/2016;7,91;8,06;7,76;7,94;7,94;1548900
31/10/2016;8,01;8,05;7,6;7,86;7,86;2240500
01/11/2016;8;8,04;7,33;7,43;7,43;3028700
03/11/2016;7,43;7,52;7,13;7,14;7,14;2380300
04/11/2016;7,15;7,33;6,83;6,98;6,98;4870300
07/11/2016;7,72;7,95;7,37;7,86;7,86;4475700
08/11/2016;7,84;8,07;7,57;7,67;7,67;2982500
09/11/2016;7,05;7,6;6,9;7,26;7,26;4492100
10/11/2016;7,42;7,48;5,98;5,98;5,98;11187800
11/11/2016;6,12;6,49;5,05;5,5;5,5;9178700
14/11/2016;5,49;5,7;5,14;5,56;5,56;4105300
16/11/2016;5,7;6,26;5,63;5,93;5,93;6287200
17/11/2016;6,15;6,21;5,76;5,82;5,82;4620200
18/11/2016;5,85;5,99;5,6;5,7;5,7;2222000
21/11/2016;5,83;5,86;5,45;5,5;5,5;3761000
22/11/2016;5,67;5,89;5,54;5,79;5,79;2275600
23/11/2016;5,8;5,9;5,69;5,89;5,89;2097400
24/11/2016;5,96;6,09;5,81;5,81;5,81;1129500
25/11/2016;5,77;5,82;5,57;5,66;5,66;1636100
28/11/2016;5,73;5,79;5,54;5,6;5,6;1763500
29/11/2016;5,61;5,65;5,45;5,47;5,47;1648000
30/11/2016;5,53;5,61;5,32;5,42;5,42;3200300
01/12/2016;5,41;5,41;4,94;4,97;4,97;2835800
02/12/2016;5;5,04;4,7;4,93;4,93;2336000
05/12/2016;4,98;5,04;4,7;4,75;4,75;1573300
06/12/2016;4,7;4,92;4,52;4,85;4,85;2732100
07/12/2016;4,95;5,05;4,82;4,84;4,84;1872400
08/12/2016;4,9;5,02;4,67;4,77;4,77;1565200
09/12/2016;4,82;4,88;4,7;4,76;4,76;1769800
12/12/2016;4,69;4,69;4,38;4,44;4,44;1828900
13/12/2016;4,55;4,65;4,45;4,6;4,6;1904300
14/12/2016;4,6;4,85;4,36;4,39;4,39;3336900
15/12/2016;4,41;4,54;4,21;4,42;4,42;2080100
16/12/2016;4,47;4,6;4,35;4,35;4,35;1407800
19/12/2016;4,39;4,4;4,16;4,18;4,18;1098900
20/12/2016;4,23;4,34;4,06;4,15;4,15;1160900
21/12/2016;4,05;4,05;4,05;4,05;4,05;1556200
22/12/2016;4,05;4,1;3,82;3,85;3,85;1949600
23/12/2016;3,89;4,17;3,83;4,12;4,12;1877700
26/12/2016;4,16;4,38;4,15;4,31;4,31;1798800
27/12/2016;4,42;4,69;4,39;4,63;4,63;3506400
28/12/2016;4,75;4,9;4,73;4,84;4,84;3148300
29/12/2016;4,79;4,88;4,57;4,62;4,62;2869200
02/01/2017;4,55;4,6;4,46;4,51;4,51;999500
03/01/2017;4,6;4,88;4,56;4,88;4,88;2989100
04/01/2017;4,91;5,27;4,86;5,17;5,17;5379000
05/01/2017;5,26;5,38;5,17;5,23;5,23;3505000
06/01/2017;5,2;5,23;5,03;5,15;5,15;2392100
09/01/2017;5,11;5,4;5,11;5,23;5,23;2463300
10/01/2017;5,28;5,41;5,17;5,22;5,22;1877000
11/01/2017;5,26;5,35;5,04;5,32;5,32;2786400
12/01/2017;5,6;5,79;5,57;5,73;5,73;5087200
13/01/2017;5,72;5,93;5,59;5,66;5,66;2876800
16/01/2017;5,68;5,78;5,48;5,61;5,61;2022700
17/01/2017;5,65;5,67;5,5;5,55;5,55;1686900
18/01/2017;5,57;5,62;5,36;5,39;5,39;2323800
19/01/2017;5,4;5,46;5,22;5,28;5,28;1777300
20/01/2017;5,27;5,69;5,27;5,66;5,66;2842300
23/01/2017;5,65;5,8;5,58;5,75;5,75;2404300
24/01/2017;5,78;6;5,75;6;6;3463500
26/01/2017;6,1;6,24;5,87;5,88;5,88;2794800
27/01/2017;5,94;6,14;5,73;6,1;6,1;2796100
30/01/2017;6,12;6,3;5,96;6,25;6,25;3816300
31/01/2017;6,35;6,47;6,22;6,26;6,26;4172300
01/02/2017;6,33;6,45;5,92;6,13;6,13;4421600
02/02/2017;6,39;6,45;6,25;6,34;6,34;4723300
